ID;PAROLA;MacroCategoria;Categoria;Necessita;Frequenza;Stagionalita;Fonte;Peso;NumeroPattern;NumeroTransazioni;UltimoUtilizzo
382;FRUTTERIA;Alimentari;Frutta/Orto;Essenziale;Occasionale;Tutto l'anno;Migrazione;90;2;10;14/06/2025
383;IL MONDO DELLA FRUTTA;Alimentari;Frutta/Orto;Essenziale;Occasionale;Tutto l'anno;Migrazione;78;2;1;15/02/2025
384;AMI POKE';Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;04/03/2025
385;AMOR DI GUSTO;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78;9;1;24/05/2025
386;ARGU;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;9;11;09/06/2025
387;BISTROT;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82;9;2;02/03/2025
388;BOLOGNA FOOD GALLERY;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;13/06/2025
389;CR ITALY;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;04/03/2025
390;FARIN KITCHEN;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;03/04/2025
391;FATIFER;Alimentari;Gastronomia;Utile;Occasionale;Tutto l'anno;Migrazione;75;9;1;14/06/2025
392;POLLERIA;Alimentari;Gastronomia;Utile;Occasionale;Tutto l'anno;Migrazione;75;9;2;06/05/2025
393;GELARMONY;Alimentari;Gelateria;Utile;Occasionale;Tutto l'anno;Migrazione;80;2;1;06/04/2025
394;I NOBILI GELATERIA;Alimentari;Gelateria;Utile;Occasionale;Estiva;Migrazione;81;2;1;23/03/2025
395;SCAGORA GOURMET;Alimentari;Gourmet;Voluttuario;Occasionale;Estera;Migrazione;78;1;1;28/09/2024
396;TRUTH;Alimentari;Healthy;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;4;15/06/2025
397;CASEIFICIO GIUSTI;Alimentari;Latticini;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;2;3;30/03/2025
398;CASEIFICIO LA PAGLIARA;Alimentari;Latticini;Essenziale;Occasionale;Tutto l'anno;Migrazione;75;2;1;27/11/2024
399;LAVANDERIA DM;Alimentari;Lavanderia;Utile;Occasionale;Tutto l'anno;Migrazione;75;1;1;04/07/2025
400;IL MANNARINO;Alimentari;Macelleria;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;2;1;12/06/2025
401;NORCINERIA LA VILLETTA;Alimentari;Macelleria;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;2;3;12/04/2025
402;MENSA POLO;Alimentari;Mensa;Essenziale;Occasionale;Tutto l'anno;Migrazione;90;2;17;27/06/2025
403;MENSA POLO TUSCOLANO;Alimentari;Mensa;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;2;17;27/06/2025
404;IL TIGELLINO;Alimentari;Panetteria;Utile;Occasionale;Tutto l'anno;Migrazione;75;4;1;11/06/2025
405;LA FAMILLE;Alimentari;Panetteria;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;4;2;28/05/2025
406;LE PALME;Alimentari;Panetteria;Essenziale;Occasionale;Tutto l'anno;Migrazione;75;4;2;03/05/2025
407;PAUL1;Alimentari;Panetteria;Voluttuario;Occasionale;Tutto l'anno;Migrazione;73;4;1;25/05/2025
408;PAUSE SANDWICH;Alimentari;Panini/Sandwich;Voluttuario;Occasionale;Viaggio/Estera;Migrazione;80;1;1;27/05/2025
409;CARRINHO CONFEITARIA;Alimentari;Pasticceria;Essenziale;Occasionale;Estiva;Migrazione;70;5;1;20/12/2024
410;CORNETTOLANDIA;Alimentari;Pasticceria;Utile;Occasionale;Tutto l'anno;Migrazione;80;5;1;02/07/2024
411;LA PROMENADE;Alimentari;Pasticceria;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;5;1;26/05/2025
412;OBERLAA KONDITOREI;Alimentari;Pasticceria;Voluttuario;Occasionale;Viaggio/Estera;Migrazione;88;5;1;27/04/2025
413;PASTEIS DE BELEM;Alimentari;Pasticceria;Voluttuario;Occasionale;Tutto l'anno;Migrazione;90;5;1;19/12/2024
414;PESCE & P.;Alimentari;Pescheria;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82;1;1;09/03/2025
415;ANGELO PEZZELLA;Alimentari;Pizzeria;Voluttuario;Occasionale;Tutto l'anno;Migrazione;90;2;1;30/12/2024
416;PAPA POSTO;Alimentari;Pizzeria;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;2;1;28/05/2025
417;RAMEN TON BOL;Alimentari;Ramen;Voluttuario;Occasionale;Estera;Migrazione;80;1;1;26/05/2025
418;BAR;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;60;50;58;12/07/2025
419;BELLOTA-BELLOTA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;50;1;30/05/2025
420;BLANCO;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;50;1;14/07/2024
421;BUDDHA SMILE;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;88;50;4;01/12/2024
422;BURGER KING;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;95;50;6;04/08/2025
423;CAMAL;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;50;8;07/03/2025
424;CHALET LA DELIZIA;Alimentari;Ristorazione;Voluttuario;Occasionale;Estiva;Migrazione;75;50;1;12/12/2024
425;CIBIVACCO;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70;50;1;16/02/2025
426;Country Club di Gu Calcata;Alimentari;Ristorazione;Utile;Occasionale;Tutto l'anno;Migrazione;100;50;1;23/11/2024
427;DA AGNESE;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82;50;3;09/05/2025
428;DA GIGI;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;50;1;16/02/2025
429;DA NOI;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;83;50;1;10/07/2024
430;DA PAOLO ALLA CAPANNIN;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;50;1;30/11/2024
431;DELIVEROO;Alimentari;Ristorazione;;;;Migrazione;90;50;0;Mai utilizzato
432;DONNA CIRA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82;50;1;31/01/2025
433;GLOVO;Alimentari;Ristorazione;;;;Migrazione;90;50;0;Mai utilizzato
434;GUSTAMI DI IOVANE MARC;Alimentari;Ristorazione;Voluttuario;Occasionale;Invernale;Migrazione;90;50;3;24/12/2024
435;HELLO SAILOR;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70;50;1;11/10/2024
436;IZUMA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;50;2;16/04/2025
437;KALAPA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78;50;2;11/01/2025
438;KELSEN IM PARLAMENT;Alimentari;Ristorazione;Culturale;Occasionale;Estera;Migrazione;75;50;1;26/04/2025
439;KIYOMI;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;50;1;11/07/2024
440;KOLETSA MARIA;Alimentari;Ristorazione;Voluttuario;Occasionale;Estiva;Migrazione;70;50;1;25/07/2024
441;KRAM;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70;50;1;10/05/2025
442;LA LAMPARA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;50;1;08/03/2025
443;LA PASTERIA;Alimentari;Ristorazione;Voluttuario;Occasionale;Estiva;Migrazione;75;50;1;28/07/2024
444;LA PIAZZA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;77;50;1;11/06/2025
445;LA SOLITA ZUPPA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;50;1;07/05/2025
446;LI VOLSI;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;50;1;03/07/2024
447;MARIA JESUS PINHEIRO;Alimentari;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;70;50;1;19/12/2024
448;MCDONALD;Alimentari;Ristorazione;;;;Migrazione;95;50;0;Mai utilizzato
449;MESSICO E NUVOLE;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;50;1;30/07/2024
450;MON AMI';Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;50;1;21/03/2025
451;MYCHEF;Alimentari;Ristorazione;Utile;Occasionale;Viaggio;Migrazione;80;50;1;05/01/2025
452;OPIA SRL;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;100;50;1;12/10/2024
453;OSTERIA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;95;50;4;19/06/2025
454;PEGAL A GOSTO;Alimentari;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;75;50;1;19/12/2024
455;PEPPE O RUSSO;Alimentari;Ristorazione;Essenziale;Occasionale;Tutto l'anno;Migrazione;75;50;1;18/06/2025
456;PIZZERIA;Alimentari;Ristorazione;;;;Migrazione;92;50;0;Mai utilizzato
457;QUINTO;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;50;1;30/11/2024
458;RISTORANTE;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;97;50;9;01/07/2025
459;SDP MAGLIANO;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70;50;1;16/02/2025
460;SEVEN;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70;50;1;10/05/2025
461;SUSHI GOOD;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;50;1;13/12/2024
462;TABACCHERIA FILIU';Alimentari;Ristorazione;Utile;Occasionale;Tutto l'anno;Migrazione;70;50;1;17/06/2025
463;TABERNA DA BAIXA;Alimentari;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;75;50;1;18/12/2024
464;TAVERNA;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;90;50;1;07/07/2025
465;THE BASE;Alimentari;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;50;1;03/07/2024
466;UBER EATS;Alimentari;Ristorazione;;;;Migrazione;90;50;0;Mai utilizzato
467;VAPIANO;Alimentari;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;88;50;2;25/04/2025
468;CARREFOUR;Alimentari;Spesa quotidiana;;;;Manuale;80;19;0;Mai utilizzato
469;CASA OZ;Alimentari;Spesa quotidiana;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;19;1;02/03/2025
470;CONAD;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Essenziale;Manuale;90;19;2;18/06/2025
471;COOP;Alimentari;Spesa quotidiana;Neutrale;Fissa;Tutto l'anno;Manuale;90;19;14;18/08/2025
472;CRAI;Alimentari;Spesa quotidiana;;;;Migrazione;85;19;0;Mai utilizzato
473;EMERALD'S;Alimentari;Spesa quotidiana;Essenziale;Occasionale;Tutto l'anno;Migrazione;75;19;1;04/01/2025
474;ESSELUNGA;Alimentari;Spesa quotidiana;;;;Manuale;90;19;0;Mai utilizzato
475;EUROSPAR;Alimentari;Spesa quotidiana;;;;Migrazione;85;19;0;Mai utilizzato
476;FOOD SERVICE;Alimentari;Spesa quotidiana;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;19;32;16/12/2024
477;IPERCOOP;Alimentari;Spesa quotidiana;;;;Migrazione;85;19;0;Mai utilizzato
478;LIDL;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Tutto l'anno;Migrazione;97;19;9;04/08/2025
479;PANIFICIO;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Tutto l'anno;Migrazione;90;19;3;22/03/2025
480;PANORAMA;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Tutto l'anno;Migrazione;95;19;11;04/07/2025
481;PENNY;Alimentari;Spesa quotidiana;;;;Migrazione;80;19;0;Mai utilizzato
482;PEWEX;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Tutto l'anno;Migrazione;97;19;51;25/06/2025
483;SCOMODO;Alimentari;Spesa quotidiana;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;19;2;01/08/2024
484;SPESA;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Tutto l'anno;Migrazione;80;19;2;01/07/2025
485;SUPERMERCATI;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Tutto l'anno;Migrazione;95;19;13;25/06/2025
486;SUPERMERCATO TOP;Alimentari;Spesa quotidiana;Essenziale;Ricorrente;Essenziale;Migrazione;90;19;1;02/06/2025
487;KONTOS SOUVLAKI;Alimentari;Spiedini;Voluttuario;Occasionale;Estiva;Migrazione;78;1;1;22/07/2024
488;BI BIM BAP;Alimentari;Street Food;Voluttuario;Occasionale;Tutto l'anno;Migrazione;73;5;1;25/05/2025
489;EMPANADAS MBQ;Alimentari;Street Food;Voluttuario;Occasionale;Estiva;Migrazione;75;5;1;19/12/2024
490;HAPPY FOOD;Alimentari;Street Food;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70;5;1;19/12/2024
491;TREDICINE DINO;Alimentari;Street Food;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82;5;1;30/12/2024
492;ZUM GOLDENEN WUERSTL;Alimentari;Street Food;Voluttuario;Occasionale;Viaggio/Estera;Migrazione;85;5;1;27/04/2025
493;BAZAAR;Alimentari;Supermercato;Essenziale;Occasionale;Estiva;Migrazione;75;10;2;15/07/2025
494;CRF LILLE;Alimentari;Supermercato;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78;10;1;27/05/2025
495;DESYDERIO;Alimentari;Supermercato;Utile;Occasionale;Tutto l'anno;Migrazione;75;10;1;07/12/2024
496;HAVANA;Alimentari;Supermercato;Voluttuario;Occasionale;Estiva;Migrazione;75;10;8;01/05/2025
497;RELAY;Alimentari;Supermercato;Essenziale;Occasionale;Viaggio;Migrazione;70;10;1;25/05/2025
498;SPAR;Alimentari;Supermercato;Essenziale;Occasionale;Viaggio;Migrazione;82;10;2;05/08/2025
499;SUNSET BEACH;Alimentari;Supermercato;Utile;Occasionale;Estiva;Migrazione;75;10;2;03/08/2024
500;SUPER MARKET BAZAAR;Alimentari;Supermercato;Voluttuario;Occasionale;Estiva;Migrazione;78;10;1;15/07/2025
501;SUPERMERCATO;Alimentari;Supermercato;Essenziale;Ricorrente;Essenziale;Manuale;100;10;3;18/06/2025
502;TEDI;Alimentari;Supermercato;Essenziale;Ricorrente;Tutto l'anno;Migrazione;80;10;2;04/07/2025
503;EUROSURGELATI;Alimentari;Surgelati;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;1;1;24/06/2025
504;YO FUSION;Alimentari;Sushi;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78;1;1;22/05/2025
505;AUTOGRILL;Auto;Autogrill;Voluttuario;Occasionale;Viaggio;Migrazione;82;1;4;07/07/2025
506;AGIP;Auto;Carburante;;;;Manuale;100;11;0;Mai utilizzato
507;BENZINA;Auto;Carburante;;;;Manuale;100;11;0;Mai utilizzato
508;EASY SERVICE;Auto;Carburante;Essenziale;Ricorrente;Tutto l'anno;Manuale;90;11;18;11/08/2025
509;ENERPETROLI;Auto;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;11;2;05/01/2025
510;ENI;Auto;Carburante;Essenziale;Ricorrente;Tutto l'anno;Manuale;100;11;10;10/08/2025
511;FIAMMA;Auto;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;11;1;31/05/2025
512;IP;Auto;Carburante;Essenziale;Ricorrente;Tutto l'anno;Migrazione;85;11;56;24/07/2025
513;MY OILVIA;Auto;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;11;1;20/09/2024
514;Q8;Auto;Carburante;Essenziale;Ricorrente;Tutto l'anno;Manuale;100;11;6;25/06/2025
515;SHELL;Auto;Carburante;;;;Manuale;100;11;0;Mai utilizzato
516;TAMOIL;Auto;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;11;1;08/09/2024
517;C.M. MOTORI;Auto;Manutenzione;Utile;Occasionale;Tutto l'anno;Migrazione;85;2;1;28/04/2025
518;CAR SHOP;Auto;Manutenzione;Utile;Occasionale;Tutto l'anno;Migrazione;72;2;1;28/04/2025
519;PARCHEGGIO;Auto;Parcheggio;Utile;Occasionale;Tutto l'anno;Migrazione;80;3;2;05/01/2025
520;PARK AND FLY;Auto;Parcheggio;Neutrale;Occasionale;Viaggio;Migrazione;80;3;3;07/07/2025
521;SOSTA;Auto;Parcheggio;;;;Migrazione;70;3;0;Mai utilizzato
522;ASPIT NOLA;Auto;Pedaggio;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;2;1;17/08/2024
523;TELEPASS;Auto;Pedaggio;Utile;Fissa;Tutto l'anno;Migrazione;95;2;14;31/07/2025
524;45575 NOLA;Banca;Bancomat;Utile;Occasionale;Tutto l'anno;Migrazione;70;3;1;30/03/2025
525;PV5587;Banca;Bancomat;Utile;Occasionale;Tutto l'anno;Migrazione;70;3;1;21/12/2024
526;PV7264;Banca;Bancomat;Utile;Occasionale;Tutto l'anno;Migrazione;70;3;1;20/08/2024
527;CREDITO COOPERATIVO;Banca;Carte di Pagamento;Neutrale;Fissa;Tutto l'anno;Migrazione;90;1;14;18/08/2025
528;AUTOMOBILE;Banca;Commissioni;Utile;Annuale;Tutto l'anno;Migrazione;90;7;2;13/12/2024
529;BANCOMAT ESTERO;Banca;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;90;7;4;15/07/2025
530;COMMISSIONI;Banca;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;80;7;51;30/07/2025
531;IMPOSTA;Banca;Commissioni;Neutrale;Annuale;Tutto l'anno;Migrazione;85;7;5;30/06/2025
532;Imposte e Tasse;Banca;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;85;7;3;26/05/2025
533;PRELIEVO;Banca;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;75;7;22;30/07/2025
534;SEPA;Banca;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;80;7;91;18/08/2025
535;INTERESSI;Banca;Interessi;Neutrale;Annuale;Tutto l'anno;Migrazione;85;1;5;30/06/2025
536;ATM;Banca;Prelievo;Neutrale;Occasionale;Tutto l'anno;Migrazione;85;5;23;30/07/2025
537;FALIRAKI;Banca;Prelievo;Neutrale;Occasionale;Tutto l'anno;Migrazione;80;5;1;15/07/2025
538;FIUMICINO;Banca;Prelievo;Voluttuario;Occasionale;Estiva;Migrazione;80;5;18;07/07/2025
539;NAPOLI;Banca;Prelievo;Neutrale;Occasionale;Tutto l'anno;Migrazione;80;5;15;04/08/2025
540;PRELEVAMENTO;Banca;Prelievo;Neutrale;Occasionale;Tutto l'anno;Migrazione;85;5;23;30/07/2025
541;VERSAMENTO;Banca;Servizi;Neutrale;Occasionale;Tutto l'anno;Migrazione;80;1;2;15/05/2025
542;STORNO;Banca;Storni;Neutrale;Occasionale;Tutto l'anno;Migrazione;85;1;3;22/12/2024
543;CASALANDIA;Casa;Accessori casa;Utile;Occasionale;Tutto l'anno;Migrazione;75;1;3;06/01/2025
544;ZERO FASHION;Casa;Arredamento;Utile;Occasionale;Tutto l'anno;Migrazione;80;1;1;06/07/2025
545;ASSICURAZIONE;Casa;Assicurazioni;Essenziale;Annuale;Tutto l'anno;Migrazione;90;4;6;26/06/2025
546;BARCA;Casa;Assicurazioni;Essenziale;Ricorrente;Tutto l'anno;Migrazione;92;4;10;01/07/2025
547;CHARTER;Casa;Assicurazioni;Essenziale;Annuale;Estiva;Migrazione;92;4;1;25/06/2025
548;QUOTA ASSICURAZIONE;Casa;Assicurazioni;Essenziale;Annuale;Tutto l'anno;Migrazione;90;4;1;25/06/2025
549;EDILBRIKO;Casa;Brico;Utile;Occasionale;Tutto l'anno;Migrazione;72;1;1;21/03/2025
550;CAPSULE E CIALDE;Casa;Cialde Caffè;Utile;Occasionale;Tutto l'anno;Migrazione;80;1;2;15/03/2025
551;ACCONTO;Casa;Condominio;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;4;1;05/09/2024
552;MEDIAZIONE;Casa;Condominio;Essenziale;Annuale;Tutto l'anno;Migrazione;90;4;4;24/06/2025
553;QUOTE;Casa;Condominio;Essenziale;Annuale;Tutto l'anno;Migrazione;90;4;4;24/07/2025
554;RATA;Casa;Condominio;Essenziale;Ricorrente;Tutto l'anno;Migrazione;92;4;49;07/08/2025
555;CASALINGHI SU LIAI;Casa;Cura;Utile;Occasionale;Tutto l'anno;Migrazione;75;1;1;11/10/2024
556;EDILMARKET;Casa;Edilizia;Utile;Occasionale;Tutto l'anno;Migrazione;80;1;5;28/04/2025
557;MUTUO;Casa;Finanziamenti;Essenziale;Fissa;Tutto l'anno;Migrazione;92;1;14;07/08/2025
558;AMAZON PRIME;Casa;Servizi;;;;Migrazione;90;4;0;Mai utilizzato
559;LAVANDERIA;Casa;Servizi;Utile;Occasionale;Tutto l'anno;Migrazione;75;4;1;04/07/2025
560;NETFLIX;Casa;Servizi;Voluttuario;Fissa;Tutto l'anno;Migrazione;95;4;8;01/08/2025
561;SPOTIFY;Casa;Servizi;;;;Migrazione;95;4;0;Mai utilizzato
562;EUROHOME;Casa;Shopping;Utile;Occasionale;Tutto l'anno;Migrazione;70;2;1;28/07/2024
563;IKEA;Casa;Shopping;;;;Migrazione;95;2;0;Mai utilizzato
564;FASTWEB;Casa;Utenze;;;;Migrazione;95;4;0;Mai utilizzato
565;TIM;Casa;Utenze;Essenziale;Fissa;Tutto l'anno;Migrazione;95;4;3;13/06/2025
566;VODAFONE;Casa;Utenze;Essenziale;Fissa;Tutto l'anno;Migrazione;95;4;12;11/08/2025
567;WIND;Casa;Utenze;;;;Migrazione;95;4;0;Mai utilizzato
568;VIAGGIO;Entrate;Bonifico;Voluttuario;Occasionale;Estiva;Migrazione;90;1;12;14/08/2025
569;ANTICIPO;Entrate;Lavoro;Entrata;Occasionale;Tutto l'anno;Migrazione;90;5;6;19/06/2025
570;Emolumenti;Entrate;Lavoro;Essenziale;Ricorrente;Tutto l'anno;Migrazione;100;5;16;23/07/2025
571;MIN.INT.SEGR.DIP.TO PUBB.SICU.;Entrate;Lavoro;Entrata;Occasionale;Tutto l'anno;Migrazione;92;5;7;19/06/2025
572;MISSIONE;Entrate;Lavoro;Entrata;Occasionale;Tutto l'anno;Migrazione;90;5;3;22/01/2025
573;SALDI MISS;Entrate;Lavoro;Entrata;Occasionale;Tutto l'anno;Migrazione;90;5;1;31/10/2024
574;FARMACIA;Farmacia;Salute;Essenziale;Occasionale;Essenziale;Manuale;100;1;5;25/05/2025
575;BONIFICO;Finanze;Bonifici;Neutrale;Occasionale;Tutto l'anno;Migrazione;70;1;75;14/08/2025
576;TIME FITNESS;Fitness;Palestra;Essenziale;Fissa;Tutto l'anno;Migrazione;88;1;2;03/06/2025
577;ARTE E VINO;Gastronomia;Enoteca;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;1;1;21/10/2024
578;MI' NDUJO;Gastronomia;Tipico Calabrese;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70;1;1;17/05/2025
579;RICA GEST;Gestione Immobili;Affittacamere;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;1;13/04/2025
580;CINEMA;Intrattenimento;Cinema;;;;Migrazione;80;1;0;Mai utilizzato
581;PALESTRA;Intrattenimento;Palestra;;;;Migrazione;80;1;0;Mai utilizzato
582;MAKERE;Noleggio;Auto;Utile;Occasionale;Estiva;Migrazione;73;2;1;17/06/2025
583;Y.R.G.;Noleggio;Auto;Utile;Occasionale;Estiva;Migrazione;70;2;1;24/08/2024
584;LIS PAY;Pagamenti;E-Wallet;Neutrale;Occasionale;Tutto l'anno;Migrazione;80;1;2;22/04/2025
585;FAST PAY;Pagamento;Pedaggio;Utile;Fissa;Tutto l'anno;Migrazione;80;1;1;22/02/2025
586;SAPORE DI MARE;Ristoranti;Pescheria;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;1;1;13/10/2024
587;BARRIOLATINO;Ristorazione;Ristorante;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;1;8;07/02/2025
588;ALBAMEDICA;Salute;Clinica;Essenziale;Occasionale;Tutto l'anno;Migrazione;75;1;1;17/09/2024
589;ANAGNINA HFB ECO;Salute;Farmacia;Essenziale;Occasionale;Tutto l'anno;Migrazione;79;1;2;18/05/2025
590;NUOVA SIDAP;Servizi;Industria;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;1;13/10/2024
591;SHOP & GO;Servizi;Pagamenti Digitali;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;2;1;07/12/2024
592;SUMUP;Servizi;Pagamenti Digitali;Utile;Occasionale;Tutto l'anno;Migrazione;90;2;19;10/08/2025
593;DECATHLON;Shopping;Abbigliamento;Voluttuario;Occasionale;Tutto l'anno;Migrazione;90;4;4;22/02/2025
594;LE SOYEUX;Shopping;Abbigliamento;Voluttuario;Occasionale;Viaggio/Estera;Migrazione;75;4;1;27/05/2025
